service_display_name,name,quantity,region,service_id,sku,"total_price, USD",notes
Compute Engine,N1 Predefined Instance Core running in Americas,2920,us-central1,6F81-5844-456A,2E27-4F75-95CD,92.30412,
Compute Engine,N1 Predefined Instance Ram running in Americas,10950,us-central1,6F81-5844-456A,6C71-E844-38BC,46.39515,
Compute Engine,Balanced PD Capacity,10,us-central1,6F81-5844-456A,6AE1-525F-8B80,1,
Cloud SQL,Cloud SQL for MySQL: Regional - vCPU in Americas,5840,us-central1,9662-B51E-5089,2C7C-7705-6CE7,482.384,
Cloud SQL,Cloud SQL for MySQL: Regional - RAM in Americas,21900,us-central1,9662-B51E-5089,E33C-229F-2DA2,306.6,
Cloud SQL,Cloud SQL for MySQL: Regional - Standard storage in Americas,292000,us-central1,9662-B51E-5089,D65A-D0C3-34F4,136,
Cloud CDN,Networking Cloud CDN Traffic Cache Data Transfer to Asia,0,global,E505-1604-58F8,6C5E-44C4-703A,0,
Cloud CDN,Networking Cloud CDN Traffic Cache Data Transfer to China,0,global,E505-1604-58F8,B932-7C57-E43B,0,
Cloud CDN,Networking Cloud CDN Traffic Cache Data Transfer to Europe,0,global,E505-1604-58F8,2A8D-245C-0E0B,0,
Cloud CDN,Networking Cloud CDN Traffic Cache Data Transfer to North America,4,global,E505-1604-58F8,15AE-8E35-C42B,0.32,
Cloud CDN,Networking Cloud CDN Traffic Cache Data Transfer to Oceania,0,global,E505-1604-58F8,DA37-3BF1-2FEB,0,
Cloud CDN,Networking Cloud CDN Traffic Cache Data Transfer to Latin America,0,global,E505-1604-58F8,E141-D225-4599,0,
Cloud CDN,Networking Cloud CDN Traffic Cache Data Transfer to Other,0,global,E505-1604-58F8,620D-FE53-4BA9,0,
Cloud CDN,Network CDN North America Intra-Region Cache Fill,500,global,E505-1604-58F8,AAEB-2D19-B7E5,5,
Cloud CDN,Network CDN Cache Fill from North America to Other Destinations,0,global,E505-1604-58F8,A0B3-CD45-6901,0,
Cloud CDN,Networking Cloud Cdn Cache Lookups,30000000,global,E505-1604-58F8,4762-E550-B5D2,22.5,
Networking,Regional External Application Load Balancer Inbound Data Processing for Iowa (us-central1),100,,E505-1604-58F8,3F60-2E4F-0911,0.8,
Networking,Regional External Application Load Balancer Outbound Data Processing for Iowa (us-central1),100,,E505-1604-58F8,B9BD-6489-535E,0.8,
Networking,Regional External Application Load Balancer Forwarding Rule Additional for Iowa (us-central1),5,,E505-1604-58F8,D092-D59C-D507,36.5,
Networking,Regional External Proxy Network Load Balancer Forwarding Rule Minimum for Iowa (us-central1),1,,E505-1604-58F8,78A4-19DB-001F,18.25,
Cloud Storage,Standard Storage US Regional,5000,us-central1,95FF-2EF5-5EA1,E5F0-6A5D-7BAD,99.9,
,,,,,,,
,,,,,Total Price:,1248.75327,
,,,,,,,
"Prices are in US dollars, effective date is 2024-10-15T04:42:08.264Z",,,,,,,
,,,,,,,
The estimated fees provided by Google Cloud Pricing Calculator are for discussion purposes only and are not binding on either you or Google. Your actual fees may be higher or lower than the estimate.,,,,,,,
,,,,,,,
Url to the estimate:,https://cloud.google.com/calculator?dl=CjhDaVJpTnpCa056TXdOeTFsWW1SbExUUmlNVEF0WWpGaE55MDRZVGxoWm1Zd1l6STVNamdRQVE9PRokREQyMzZEMTktMzVGNC00MzY2LTg3ODEtM0UwRDUwOTJFMjM1,,,,,,
